School Name,Board,State,City/District,Email ID,Contact Number
Vivekananda High School Branch 66,NIOS,Arunachal Pradesh,District 490,contact@vivekanandahighschoolbranch66.edu.in,094-6845370
Tagore Convent Branch 91,IGCSE,Assam,District 480,contact@tagoreconventbranch91.edu.in,082-1590895
Model Academy Branch 49,IGCSE,Bihar,District 167,contact@modelacademybranch49.edu.in,020-4706766
Global Academy Branch 10,CBSE,Chhattisgarh,District 195,contact@globalacademybranch10.edu.in,062-1953340
New Era Primary School Branch 45,ICSE,Goa,District 607,contact@neweraprimaryschoolbranch45.edu.in,016-6743107
Carmel Academy Branch 24,ICSE,Gujarat,District 310,contact@carmelacademybranch24.edu.in,032-6326657
Heritage Public School Branch 58,State Board,Haryana,District 259,contact@heritagepublicschoolbranch58.edu.in,051-8166576
Government Academy Branch 70,ICSE,Himachal Pradesh,District 227,contact@governmentacademybranch70.edu.in,047-9546607
Bharatiya Academy Branch 77,ICSE,Jharkhand,District 416,contact@bharatiyaacademybranch77.edu.in,034-5023658
Carmel Secondary School Branch 89,NIOS,Karnataka,District 69,contact@carmelsecondaryschoolbranch89.edu.in,034-3430652
Navodaya High School Branch 66,NIOS,Kerala,District 515,contact@navodayahighschoolbranch66.edu.in,087-1274591
Model Primary School Branch 96,ICSE,Madhya Pradesh,District 174,contact@modelprimaryschoolbranch96.edu.in,062-9666083
New Era Convent Branch 51,CBSE,Maharashtra,District 679,contact@neweraconventbranch51.edu.in,020-8483746
Model Public School Branch 48,IB,Manipur,District 403,contact@modelpublicschoolbranch48.edu.in,035-4707768
KV Vidyalaya Branch 77,CBSE,Meghalaya,District 595,contact@kvvidyalayabranch77.edu.in,010-8369259
Greenwood Secondary School Branch 94,IB,Mizoram,District 425,contact@greenwoodsecondaryschoolbranch94.edu.in,068-3410758
Bharatiya Vidyalaya Branch 76,IGCSE,Nagaland,District 626,contact@bharatiyavidyalayabranch76.edu.in,010-6870708
Navodaya Public School Branch 50,NIOS,Odisha,District 137,contact@navodayapublicschoolbranch50.edu.in,071-1845230
Navodaya Vidyalaya Branch 52,IB,Punjab,District 370,contact@navodayavidyalayabranch52.edu.in,060-9456309
Government Secondary School Branch 95,IB,Rajasthan,District 484,contact@governmentsecondaryschoolbranch95.edu.in,050-1436054
Adarsh Secondary School Branch 62,ICSE,Sikkim,District 216,contact@adarshsecondaryschoolbranch62.edu.in,062-4923083
Saraswati Secondary School Branch 46,NIOS,Tamil Nadu,District 575,contact@saraswatisecondaryschoolbranch46.edu.in,068-2057514
Government Convent Branch 62,CBSE,Telangana,District 607,contact@governmentconventbranch62.edu.in,037-4786215
Heritage Academy Branch 7,NIOS,Tripura,District 143,contact@heritageacademybranch7.edu.in,021-8032829
Tagore Convent Branch 41,State Board,Uttar Pradesh,District 677,contact@tagoreconventbranch41.edu.in,053-6185085
Model Primary School Branch 70,IB,Uttarakhand,District 608,contact@modelprimaryschoolbranch70.edu.in,052-7973628
Government International Branch 74,CBSE,West Bengal,District 483,contact@governmentinternationalbranch74.edu.in,070-8869379
Carmel Vidyalaya Branch 92,IB,Andaman and Nicobar Islands,District 212,contact@carmelvidyalayabranch92.edu.in,071-8975583
Model High School Branch 55,IB,Chandigarh,District 114,contact@modelhighschoolbranch55.edu.in,081-6582257
Heritage Public School Branch 37,IGCSE,Dadra and Nagar Haveli,District 314,contact@heritagepublicschoolbranch37.edu.in,011-9993004
Bharatiya Primary School Branch 63,IGCSE,Lakshadweep,District 496,contact@bharatiyaprimaryschoolbranch63.edu.in,020-1567088
Navodaya High School Branch 72,NIOS,Delhi,District 459,contact@navodayahighschoolbranch72.edu.in,045-8020053
KV High School Branch 30,IB,Puducherry,District 300,contact@kvhighschoolbranch30.edu.in,066-4019801
Carmel Convent Branch 76,IGCSE,Ladakh,District 88,contact@carmelconventbranch76.edu.in,078-3153753
Navodaya Vidyalaya Branch 33,State Board,Jammu and Kashmir,District 285,contact@navodayavidyalayabranch33.edu.in,057-1695714
New Era Vidyalaya Branch 24,IGCSE,Andhra Pradesh,District 536,contact@neweravidyalayabranch24.edu.in,070-7797082
Carmel International Branch 65,IB,Arunachal Pradesh,District 555,contact@carmelinternationalbranch65.edu.in,094-4971580
New Era Vidyalaya Branch 66,ICSE,Assam,District 626,contact@neweravidyalayabranch66.edu.in,071-4940219
Army Vidyalaya Branch 69,IB,Bihar,District 297,contact@armyvidyalayabranch69.edu.in,082-5804943
KV Vidyalaya Branch 74,State Board,Chhattisgarh,District 307,contact@kvvidyalayabranch74.edu.in,077-9153962
Government Vidyalaya Branch 68,ICSE,Goa,District 279,contact@governmentvidyalayabranch68.edu.in,081-3492279
St. Joseph's International Branch 61,State Board,Gujarat,District 325,contact@stjosephsinternationalbranch61.edu.in,072-2093104
Greenwood International Branch 100,IB,Haryana,District 237,contact@greenwoodinternationalbranch100.edu.in,022-3582584
Bharatiya Vidyalaya Branch 21,NIOS,Himachal Pradesh,District 183,contact@bharatiyavidyalayabranch21.edu.in,081-8770040
Bharatiya High School Branch 35,IB,Jharkhand,District 677,contact@bharatiyahighschoolbranch35.edu.in,034-2365913
Adarsh Secondary School Branch 7,CBSE,Karnataka,District 58,contact@adarshsecondaryschoolbranch7.edu.in,028-3610709
Army Academy Branch 31,NIOS,Kerala,District 582,contact@armyacademybranch31.edu.in,090-7334128
St. Joseph's International Branch 10,NIOS,Madhya Pradesh,District 601,contact@stjosephsinternationalbranch10.edu.in,029-4586701
Carmel Primary School Branch 55,State Board,Maharashtra,District 521,contact@carmelprimaryschoolbranch55.edu.in,081-6534193
Carmel High School Branch 92,ICSE,Manipur,District 464,contact@carmelhighschoolbranch92.edu.in,020-3589220
KV High School Branch 33,State Board,Meghalaya,District 363,contact@kvhighschoolbranch33.edu.in,095-1286157
Army Primary School Branch 32,State Board,Mizoram,District 18,contact@armyprimaryschoolbranch32.edu.in,093-6022672
Army Public School Branch 29,ICSE,Nagaland,District 625,contact@armypublicschoolbranch29.edu.in,041-8436668
Greenwood Secondary School Branch 46,CBSE,Odisha,District 635,contact@greenwoodsecondaryschoolbranch46.edu.in,023-6835230
Model Secondary School Branch 4,ICSE,Punjab,District 193,contact@modelsecondaryschoolbranch4.edu.in,026-5677000
Bharatiya Academy Branch 34,NIOS,Rajasthan,District 203,contact@bharatiyaacademybranch34.edu.in,055-2924969
Vivekananda Primary School Branch 27,NIOS,Sikkim,District 150,contact@vivekanandaprimaryschoolbranch27.edu.in,086-9565434
KV International Branch 81,IGCSE,Tamil Nadu,District 26,contact@kvinternationalbranch81.edu.in,078-3242752
Saraswati Vidyalaya Branch 92,CBSE,Telangana,District 645,contact@saraswatividyalayabranch92.edu.in,071-1949687
Bharatiya Academy Branch 91,IGCSE,Tripura,District 255,contact@bharatiyaacademybranch91.edu.in,062-6940898
Vivekananda Convent Branch 47,NIOS,Uttar Pradesh,District 576,contact@vivekanandaconventbranch47.edu.in,051-6820263
Tagore Academy Branch 46,NIOS,Uttarakhand,District 62,contact@tagoreacademybranch46.edu.in,084-7243337
Government Convent Branch 16,NIOS,West Bengal,District 534,contact@governmentconventbranch16.edu.in,050-8891934
KV Convent Branch 75,NIOS,Andaman and Nicobar Islands,District 439,contact@kvconventbranch75.edu.in,054-2150795
Carmel High School Branch 75,ICSE,Chandigarh,District 261,contact@carmelhighschoolbranch75.edu.in,087-8635800
Tagore High School Branch 77,ICSE,Dadra and Nagar Haveli,District 373,contact@tagorehighschoolbranch77.edu.in,051-9865347
Vidya Mandir Public School Branch 11,IGCSE,Lakshadweep,District 632,contact@vidyamandirpublicschoolbranch11.edu.in,046-4422726
Adarsh Convent Branch 32,NIOS,Delhi,District 541,contact@adarshconventbranch32.edu.in,083-9038279
Heritage International Branch 19,ICSE,Puducherry,District 335,contact@heritageinternationalbranch19.edu.in,043-1594891
Government Academy Branch 71,CBSE,Ladakh,District 102,contact@governmentacademybranch71.edu.in,052-3386620
Army Secondary School Branch 70,IB,Jammu and Kashmir,District 73,contact@armysecondaryschoolbranch70.edu.in,024-9380225
New Era International Branch 86,ICSE,Andhra Pradesh,District 133,contact@newerainternationalbranch86.edu.in,069-5940914
Saraswati International Branch 18,IB,Arunachal Pradesh,District 194,contact@saraswatiinternationalbranch18.edu.in,040-5900118
Vivekananda International Branch 58,IB,Assam,District 1,contact@vivekanandainternationalbranch58.edu.in,047-9076954
Heritage Primary School Branch 68,State Board,Bihar,District 177,contact@heritageprimaryschoolbranch68.edu.in,097-3168524
Model High School Branch 58,IB,Chhattisgarh,District 265,contact@modelhighschoolbranch58.edu.in,011-3757696
Vivekananda Vidyalaya Branch 13,IGCSE,Goa,District 227,contact@vivekanandavidyalayabranch13.edu.in,043-8826371
Carmel High School Branch 89,IB,Gujarat,District 470,contact@carmelhighschoolbranch89.edu.in,017-2760059
New Era High School Branch 21,ICSE,Haryana,District 292,contact@newerahighschoolbranch21.edu.in,050-9023487
Bharatiya Public School Branch 53,ICSE,Himachal Pradesh,District 107,contact@bharatiyapublicschoolbranch53.edu.in,050-7853768
Heritage Primary School Branch 68,CBSE,Jharkhand,District 504,contact@heritageprimaryschoolbranch68.edu.in,099-2119045
Carmel Vidyalaya Branch 61,IB,Karnataka,District 612,contact@carmelvidyalayabranch61.edu.in,074-9803747
Carmel High School Branch 48,IGCSE,Kerala,District 308,contact@carmelhighschoolbranch48.edu.in,031-3778745
Carmel Primary School Branch 41,IGCSE,Madhya Pradesh,District 85,contact@carmelprimaryschoolbranch41.edu.in,011-3673585
Heritage Primary School Branch 60,CBSE,Maharashtra,District 401,contact@heritageprimaryschoolbranch60.edu.in,093-9559629
Saraswati Academy Branch 85,IGCSE,Manipur,District 181,contact@saraswatiacademybranch85.edu.in,040-9051508
Greenwood Academy Branch 15,ICSE,Meghalaya,District 112,contact@greenwoodacademybranch15.edu.in,099-2013716
Adarsh Primary School Branch 28,NIOS,Mizoram,District 542,contact@adarshprimaryschoolbranch28.edu.in,063-8266925
Tagore Secondary School Branch 28,ICSE,Nagaland,District 269,contact@tagoresecondaryschoolbranch28.edu.in,093-5271188
Saraswati Academy Branch 27,State Board,Odisha,District 433,contact@saraswatiacademybranch27.edu.in,040-7924644
Vidya Mandir Academy Branch 95,IB,Punjab,District 449,contact@vidyamandiracademybranch95.edu.in,049-7545331
Army Public School Branch 62,ICSE,Rajasthan,District 98,contact@armypublicschoolbranch62.edu.in,043-1608521
Greenwood International Branch 33,ICSE,Sikkim,District 244,contact@greenwoodinternationalbranch33.edu.in,023-7981087
KV Secondary School Branch 78,IB,Tamil Nadu,District 694,contact@kvsecondaryschoolbranch78.edu.in,029-1720641
Heritage Public School Branch 95,CBSE,Telangana,District 484,contact@heritagepublicschoolbranch95.edu.in,042-4949533
Saraswati Vidyalaya Branch 49,CBSE,Tripura,District 117,contact@saraswatividyalayabranch49.edu.in,041-5217080
Adarsh Primary School Branch 54,IB,Uttar Pradesh,District 79,contact@adarshprimaryschoolbranch54.edu.in,092-2840884
Carmel Vidyalaya Branch 71,ICSE,Uttarakhand,District 164,contact@carmelvidyalayabranch71.edu.in,072-8092119
KV Primary School Branch 47,IGCSE,West Bengal,District 649,contact@kvprimaryschoolbranch47.edu.in,093-2385667
Global International Branch 99,NIOS,Andaman and Nicobar Islands,District 215,contact@globalinternationalbranch99.edu.in,025-5577191
New Era Convent Branch 4,IGCSE,Chandigarh,District 519,contact@neweraconventbranch4.edu.in,092-2035651
St. Joseph's Secondary School Branch 24,ICSE,Dadra and Nagar Haveli,District 365,contact@stjosephssecondaryschoolbranch24.edu.in,012-3672551
Model Public School Branch 100,State Board,Lakshadweep,District 239,contact@modelpublicschoolbranch100.edu.in,042-5815275
Navodaya Vidyalaya Branch 69,State Board,Delhi,District 396,contact@navodayavidyalayabranch69.edu.in,029-2747169
New Era Public School Branch 67,ICSE,Puducherry,District 56,contact@newerapublicschoolbranch67.edu.in,051-5817645
Global Academy Branch 100,NIOS,Ladakh,District 176,contact@globalacademybranch100.edu.in,034-8608777
Vidya Mandir Convent Branch 16,State Board,Jammu and Kashmir,District 59,contact@vidyamandirconventbranch16.edu.in,034-9823367
Bharatiya Academy Branch 44,IGCSE,Andhra Pradesh,District 256,contact@bharatiyaacademybranch44.edu.in,073-8840125
Carmel Convent Branch 24,IGCSE,Arunachal Pradesh,District 86,contact@carmelconventbranch24.edu.in,048-9320904
Vivekananda Secondary School Branch 29,ICSE,Assam,District 83,contact@vivekanandasecondaryschoolbranch29.edu.in,093-7143499
Adarsh Secondary School Branch 19,CBSE,Bihar,District 234,contact@adarshsecondaryschoolbranch19.edu.in,015-6521092
Adarsh Public School Branch 79,ICSE,Chhattisgarh,District 29,contact@adarshpublicschoolbranch79.edu.in,062-8366752
St. Joseph's Vidyalaya Branch 26,IGCSE,Goa,District 443,contact@stjosephsvidyalayabranch26.edu.in,095-7269751
Navodaya Secondary School Branch 100,IGCSE,Gujarat,District 341,contact@navodayasecondaryschoolbranch100.edu.in,045-9604425
New Era High School Branch 24,NIOS,Haryana,District 401,contact@newerahighschoolbranch24.edu.in,051-1764827
Tagore Public School Branch 37,IGCSE,Himachal Pradesh,District 175,contact@tagorepublicschoolbranch37.edu.in,035-3613108
Navodaya Vidyalaya Branch 6,IB,Jharkhand,District 634,contact@navodayavidyalayabranch6.edu.in,074-5881584
Navodaya International Branch 85,IB,Karnataka,District 595,contact@navodayainternationalbranch85.edu.in,048-2367955
Navodaya Secondary School Branch 22,CBSE,Kerala,District 657,contact@navodayasecondaryschoolbranch22.edu.in,077-9651761
Global High School Branch 37,ICSE,Madhya Pradesh,District 459,contact@globalhighschoolbranch37.edu.in,038-6499907
Government International Branch 99,IB,Maharashtra,District 347,contact@governmentinternationalbranch99.edu.in,058-9165472
Tagore Public School Branch 90,State Board,Manipur,District 416,contact@tagorepublicschoolbranch90.edu.in,078-6345000
Model International Branch 86,ICSE,Meghalaya,District 131,contact@modelinternationalbranch86.edu.in,049-8192268
Heritage Public School Branch 99,NIOS,Mizoram,District 121,contact@heritagepublicschoolbranch99.edu.in,075-8344933
Carmel Vidyalaya Branch 48,NIOS,Nagaland,District 10,contact@carmelvidyalayabranch48.edu.in,098-1040769
New Era Convent Branch 23,IGCSE,Odisha,District 557,contact@neweraconventbranch23.edu.in,057-2447847
Bharatiya Academy Branch 23,CBSE,Punjab,District 519,contact@bharatiyaacademybranch23.edu.in,034-3596527
Government Convent Branch 18,IGCSE,Rajasthan,District 129,contact@governmentconventbranch18.edu.in,015-4179462
Army Academy Branch 73,CBSE,Sikkim,District 369,contact@armyacademybranch73.edu.in,014-7364721
Navodaya Convent Branch 98,NIOS,Tamil Nadu,District 524,contact@navodayaconventbranch98.edu.in,014-4361493
Model High School Branch 94,State Board,Telangana,District 282,contact@modelhighschoolbranch94.edu.in,081-9215256
Greenwood Public School Branch 90,ICSE,Tripura,District 483,contact@greenwoodpublicschoolbranch90.edu.in,083-5793475
Greenwood High School Branch 62,CBSE,Uttar Pradesh,District 360,contact@greenwoodhighschoolbranch62.edu.in,068-6954773
Carmel High School Branch 57,IGCSE,Uttarakhand,District 76,contact@carmelhighschoolbranch57.edu.in,016-1377663
Adarsh Convent Branch 37,State Board,West Bengal,District 451,contact@adarshconventbranch37.edu.in,028-3779858
Navodaya Academy Branch 67,NIOS,Andaman and Nicobar Islands,District 370,contact@navodayaacademybranch67.edu.in,074-9955948
KV Secondary School Branch 33,CBSE,Chandigarh,District 533,contact@kvsecondaryschoolbranch33.edu.in,065-6815432
Heritage Secondary School Branch 43,IB,Dadra and Nagar Haveli,District 499,contact@heritagesecondaryschoolbranch43.edu.in,096-3636257
Greenwood Primary School Branch 14,IB,Lakshadweep,District 646,contact@greenwoodprimaryschoolbranch14.edu.in,092-2308668
Government Convent Branch 71,ICSE,Delhi,District 442,contact@governmentconventbranch71.edu.in,093-2505777
Navodaya Secondary School Branch 82,IB,Puducherry,District 166,contact@navodayasecondaryschoolbranch82.edu.in,077-2377511
Vivekananda High School Branch 4,ICSE,Ladakh,District 329,contact@vivekanandahighschoolbranch4.edu.in,037-3926112
Bharatiya Secondary School Branch 40,State Board,Jammu and Kashmir,District 181,contact@bharatiyasecondaryschoolbranch40.edu.in,010-3315607
Vivekananda Primary School Branch 50,NIOS,Andhra Pradesh,District 623,contact@vivekanandaprimaryschoolbranch50.edu.in,055-2587135
Tagore High School Branch 48,NIOS,Arunachal Pradesh,District 143,contact@tagorehighschoolbranch48.edu.in,078-5617056
KV Public School Branch 97,State Board,Assam,District 99,contact@kvpublicschoolbranch97.edu.in,088-8776844
Vidya Mandir Secondary School Branch 35,ICSE,Bihar,District 51,contact@vidyamandirsecondaryschoolbranch35.edu.in,068-9920008
Army Primary School Branch 92,NIOS,Chhattisgarh,District 202,contact@armyprimaryschoolbranch92.edu.in,025-7380043
Carmel Academy Branch 66,State Board,Goa,District 642,contact@carmelacademybranch66.edu.in,053-9574689
Vivekananda Academy Branch 95,NIOS,Gujarat,District 437,contact@vivekanandaacademybranch95.edu.in,077-2354599
Government Secondary School Branch 23,IGCSE,Haryana,District 476,contact@governmentsecondaryschoolbranch23.edu.in,076-9586680
Adarsh Primary School Branch 26,State Board,Himachal Pradesh,District 570,contact@adarshprimaryschoolbranch26.edu.in,057-2169698
Vidya Mandir International Branch 74,IGCSE,Jharkhand,District 343,contact@vidyamandirinternationalbranch74.edu.in,016-4828774
Navodaya Secondary School Branch 65,ICSE,Karnataka,District 198,contact@navodayasecondaryschoolbranch65.edu.in,015-7765329
KV Secondary School Branch 53,IGCSE,Kerala,District 550,contact@kvsecondaryschoolbranch53.edu.in,045-4180215
Adarsh Primary School Branch 40,IGCSE,Madhya Pradesh,District 189,contact@adarshprimaryschoolbranch40.edu.in,074-1167857
Government Primary School Branch 76,State Board,Maharashtra,District 482,contact@governmentprimaryschoolbranch76.edu.in,048-8754995
New Era Public School Branch 67,IB,Manipur,District 335,contact@newerapublicschoolbranch67.edu.in,032-6349981
Government High School Branch 49,IGCSE,Meghalaya,District 587,contact@governmenthighschoolbranch49.edu.in,026-9461420
Adarsh Secondary School Branch 29,NIOS,Mizoram,District 367,contact@adarshsecondaryschoolbranch29.edu.in,069-5399922
Heritage Secondary School Branch 74,ICSE,Nagaland,District 640,contact@heritagesecondaryschoolbranch74.edu.in,050-3925936
Heritage Primary School Branch 29,CBSE,Odisha,District 34,contact@heritageprimaryschoolbranch29.edu.in,093-6559262
Model Public School Branch 61,State Board,Punjab,District 512,contact@modelpublicschoolbranch61.edu.in,061-1898254
Tagore High School Branch 51,IGCSE,Rajasthan,District 111,contact@tagorehighschoolbranch51.edu.in,041-4610128
Global Academy Branch 24,ICSE,Sikkim,District 431,contact@globalacademybranch24.edu.in,097-9165679
Army Public School Branch 13,NIOS,Tamil Nadu,District 272,contact@armypublicschoolbranch13.edu.in,076-5901913
Model Public School Branch 50,IGCSE,Telangana,District 292,contact@modelpublicschoolbranch50.edu.in,031-1260533
Global High School Branch 76,IB,Tripura,District 209,contact@globalhighschoolbranch76.edu.in,034-1080210
Saraswati Vidyalaya Branch 9,CBSE,Uttar Pradesh,District 372,contact@saraswatividyalayabranch9.edu.in,077-6916821
Navodaya Convent Branch 11,CBSE,Uttarakhand,District 408,contact@navodayaconventbranch11.edu.in,021-7704273
Army Vidyalaya Branch 67,IB,West Bengal,District 331,contact@armyvidyalayabranch67.edu.in,020-1323116
Adarsh Primary School Branch 89,NIOS,Andaman and Nicobar Islands,District 460,contact@adarshprimaryschoolbranch89.edu.in,057-9105777
